entertainment,city,postcode,housenumber,street,state,address2,longitude,latitude
Coral Gables International Art Center,Miami,33134,,Southwest 8th Street,Florida,"Southwest 8th Street, Miami, FL 33134, United States of America",-80.284283,25.763864
Cosford Cinema,,33124,,Memorial Drive,Florida,"Memorial Drive, Coral Gables, FL 33124, United States of America",-80.27724258927587,25.72262775
Lowe Art Museum,,33124,1301,Stanford Drive,Florida,"1301 Stanford Drive, Coral Gables, FL 33124, United States of America",-80.27561,25.719383
Lowe Art Gallery,,33124,,Lowe Museum,Florida,"Lowe Museum, Coral Gables, FL 33124, United States of America",-80.2758333,25.7191667
Lakeside Patio Stage,,33124,,Lakeside Patio,Florida,"Lakeside Patio, Coral Gables, FL 33124, United States of America",-80.27839350318163,25.71912455
Gusman Concert Hall,,33146,1314,Miller Road,Florida,"1314 Miller Road, Coral Gables, FL 33146, United States of America",-80.27949928866289,25.7197267
Jerry Herman Ring Theatre,,33124,,Miller Road,Florida,"Miller Road, Coral Gables, FL 33124, United States of America",-80.28005690769231,25.7196107
Ring Theater,,33124,,Miller Road,Florida,"Miller Road, Coral Gables, FL 33124, United States of America",-80.2800415,25.7196266
Art @ The Citadel,Miami,33138,,Northeast 84th Street,Florida,"Northeast 84th Street, Miami, FL 33138, United States of America",-80.1932514,25.8521939
Noguchi Breton,Miami,33161,,Northeast 2nd Avenue,Florida,"Northeast 2nd Avenue, Miami, FL 33161, United States of America",-80.19275667976231,25.8522636
Mindy Solomon Gallery,Miami,33161,,Northeast 2nd Avenue,Florida,"Northeast 2nd Avenue, Miami, FL 33161, United States of America",-80.19267878823311,25.85241705
Victor E. Clarke Recital Hall,,33124,,University Labyrinth,Florida,"University Labyrinth, Coral Gables, FL 33124, United States of America",-80.2802228,25.7185887
Lighthouse Keepers Cottage,,33149,,Cape Florida Park Boulevard,Florida,"Cape Florida Park Boulevard, Miami-Dade County, FL 33149, United States of America",-80.15637125,25.66645565
AMC Sunset Place 24,,33143,5701,Sunset Drive,Florida,"5701 Sunset Drive, South Miami, FL 33143, United States of America",-80.28623851653646,25.70495455
Miami Theater Center,Miami Shores,33161,9806,Northeast 2nd Avenue,Florida,"9806 Northeast 2nd Avenue, Miami Shores, FL 33161, United States of America",-80.1939374696652,25.865636950000003
O Cinema Miami Shores @ MTC,Miami Shores,33161,9806,Northeast 2nd Avenue,Florida,"9806 Northeast 2nd Avenue, Miami Shores, FL 33161, United States of America",-80.193695,25.865466
Byron Carlyle Theatre,Miami Beach,33141,500,71st Street,Florida,"500 71st Street, Miami Beach, FL 33141, United States of America",-80.12372250315076,25.8558022
Carlyle Theater,Miami Beach,33141,500,71st Street,Florida,"500 71st Street, Miami Beach, FL 33141, United States of America",-80.12372,25.855903
Byron Cinema,Miami Beach,33141,,71st Street,Florida,"71st Street, Miami Beach, FL 33141, United States of America",-80.1235726,25.8559428
O Cinema Miami Beach,Miami Beach,33141,500,71st Street,Florida,"500 71st Street, Miami Beach, FL 33141, United States of America",-80.1234771,25.8559278
North Shore Park Bandshell,Miami Beach,33141,7275,Collins Avenue,Florida,"7275 Collins Avenue, Miami Beach, FL 33141, United States of America",-80.1204807039951,25.858122450000003
Pelican Theatre,Miami Shores,33161,11300,Northeast 2nd Avenue,Florida,"11300 Northeast 2nd Avenue, Miami Shores, FL 33161, United States of America",-80.1962768,25.8798662
Museum of Contemporary Art North Miami,,33161,770,Northeast 125th Street,Florida,"770 Northeast 125th Street, North Miami, FL 33161, United States of America",-80.18318084385015,25.889685
futurestuff gallery,San Souci Estates,33181,1656,Northeast 123rd Street,Florida,"1656 Northeast 123rd Street, San Souci Estates, FL 33181, United States of America",-80.1653202,25.8891153
CMX CinéBistro,,32122,,Northwest 85th Court,Florida,"Northwest 85th Court, Doral, FL 32122, United States of America",-80.3319062,25.8073078
Miami Art Center,Kendall,33156,,Southwest 88th Street,Florida,"Southwest 88th Street, Kendall, FL 33156, United States of America",-80.3188889,25.6886111
,,32122,,Northwest 41st Street,Florida,"Doral, FL 32122, United States of America",-80.33418197444878,25.81270835
Petting Zoo,,33013,,East 65th Street,Florida,"East 65th Street, Opa-locka, FL 33013, United States of America",-80.26968815719343,25.8831182
AMC Hialeah 12,Hialeah,33012,780,West 49th Street,Florida,"780 West 49th Street, Hialeah, FL 33012, United States of America",-80.29781741635479,25.865200100000003
Miami Auto Museum - South Building,,33181,14401,Northeast 20th Lane,Florida,"14401 Northeast 20th Lane, North Miami, FL 33181, United States of America",-80.15923487850233,25.9088443
The ARC (Arts and Recreation Center),,33054,675,Ali Baba Avenue,Florida,"675 Ali Baba Avenue, Opa-locka, FL 33054, United States of America",-80.25201512821243,25.901254
Ballet Flamenco La Rosa,Golden Glades,33161,74,Northeast 150th Street,Florida,"74 Northeast 150th Street, Golden Glades, FL 33161, United States of America",-80.19821400972222,25.912274850000003
