name,city,postcode,street,address2,Transport_Type,Transport,Route,longitude,latitude
Southwest 7th Street & Southwest 10th Avenue,Miami,33130,Southwest 7th Street,"Southwest 7th Street, Miami, FL 33130, United States of America",Miami-Dade Transit,bus_stop,SW 7th St & SW 10th Av,-80.2110511,25.7669109
Northwest 2nd Avenue & Northwest 5th Street,Miami,33128,Northwest 2nd Avenue,"Northwest 2nd Avenue, Miami, FL 33128, United States of America",Broward County Transit;Miami-Dade Transit,bus_stop,NW 2nd Av & NW 5th St,-80.1978259,25.7790853
Northwest 2nd Avenue & Northwest 5th Street,Miami,33128,Northwest 2nd Avenue,"Northwest 2nd Avenue, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 2nd Av & NW 5th St,-80.1979629,25.7790926
Northwest 1st Avenue & Northwest 6th Street,Miami,33128,Northwest 1st Avenue,"Northwest 1st Avenue, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 1st Av & NW 6th St,-80.1952345,25.7797372
Northeast 6th Street & Northeast 1st Avenue,Miami,33132,Northeast 6th Street,"Northeast 6th Street, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,NE 6th St & NE 1st Av,-80.192568,25.7800271
Northwest 5th Street & Northwest 3rd Avenue,Miami,33128,Northwest 5th Street,"Northwest 5th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 5th St & NW 3rd Av,-80.1993624,25.7787216
Northwest 5th Street & Northwest 3rd Court,Miami,33128,Northwest 5th Street,"Northwest 5th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 5th St & NW 3rd Ct,-80.2003484,25.7786933
Biscayne Boulevard & Northeast 6th Street,Miami,33132,Biscayne Boulevard,"Biscayne Boulevard, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,Biscayne Bd & NE 6th St,-80.1893005,25.7802492
Northwest 6th Street & Northwest 1st Avenue,Miami,33132,Northwest 6th Street,"Northwest 6th Street, Miami, FL 33132, United States of America",Miami-Dade Transit,bus_stop,NW 6th St & NW 1st Av,-80.1962277,25.7799544
Northeast 2nd Avenue & Northeast 7th Street,Miami,33137,Northeast 2nd Avenue,"Northeast 2nd Avenue, Miami, FL 33137, United States of America",Miami-Dade Transit,bus_stop,NE 2nd Av & NE 7th St,-80.1905455,25.7806833
Northwest 5th Street & Northwest 4th Avenue,Miami,33128,Northwest 5th Street,"Northwest 5th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 5th St & NW 4th Av,-80.2013959,25.7786619
Northwest 6th Street & Northwest 2nd Avenue,Miami,33128,Northwest 6th Street,"Northwest 6th Street, Miami, FL 33128, United States of America",Miami-Dade Transit,bus_stop,NW 6th St & NW 2nd Av,-80.1982734,25.7798804
Southwest 1st Street & Southwest 9th Avenue,Miami,33135,Southwest 1st Street,"Southwest 1st Street, Miami, FL 33135, United States of America",Miami-Dade Transit,bus_stop,SW 1st St & SW 9th Av,-80.2091218,25.7726389
Northwest 2nd Avenue & Northwest 6th Street,Miami,33136,Northwest 2nd Avenue,"Northwest 2nd Avenue, Miami, FL 33136, United States of America",Miami-Dade Transit,bus_stop,NW 2nd Av & NW 6th St,-80.1980402,25.7800781
